domain,capsim_name,col_name,exclude
finance,accountsPayable,accounts_payable,0
finance,accountsPayableChange,accounts_payable_change,0
finance,accountsReceivable,accounts_receivable,0
finance,accountsReceivableChange,accounts_receivable_change,0
finance,accumulatedDepreciation,accumulated_depreciation,0
finance,administrativeCost,administrative_cost,0
finance,apDays,accounts_payable_days,0
finance,arDays,accounts_receivable_days,0
finance,assetTurnover,asset_turnover,0
finance,bondIssue,bond_issue,0
finance,bondRetire,bond_retire,0
finance,bookValuePerShare,book_value_per_share,0
finance,cash,cash,0
finance,changeInCurrentDebt,current_debt_change,0
finance,closingPrice,closing_price,0
finance,commonSharesOutstanding,shares_outstanding,0
finance,commonStock,stock,0
finance,commonStockPurchase,stock_retire,0
finance,commonStockSale,stock_issue,0
finance,contributionMargin,contribution_margin,0
finance,cumulativeProfit,cumulative_profit,0
finance,currentDebt,current_debt,0
finance,currentDebtIssue,current_debt_issue,0
finance,currentDebtRetire,current_debt_retire,0
finance,defectCost,defect_cost,0
finance,deltaPrice,delta_price,0
finance,depreciation,depreciation,0
finance,depreciationPercentSales,depreciation_percent,0
finance,directLabor,direct_labor,0
finance,directMaterial,direct_material,0
finance,dividendPerShare,dividend_per_share,0
finance,dividendsPaid,dividends_paid,0
finance,dividendYield,dividend_yield,0
finance,earningsPerShare,earnings_per_share,0
finance,ebit,ebit,0
finance,effectOfExchangeRates,,1
finance,emergencyLoan,emergency_loan,0
finance,emergencyLoanCash,emergency_loan,0
finance,endingCash,ending_cash,0
finance,faceValue,face_value,0
finance,gainsAndLosses,gains_losses,0
finance,interestExpense,interest_expense,0
finance,inventory,inventory,0
finance,inventoryCarryCost,inventory_carry_cost,0
finance,inventoryChange,inventory_change,0
finance,leverage,leverage,0
finance,longInterestExpense,interest_expense_long,0
finance,longTermDebt,longterm_debt,0
finance,longTermDebtIssue,bond_issue,0
finance,longTermDebtRetire,bond_retire,0
finance,marketCapitalization,market_capitalization,0
finance,maturity_year,maturity_year,0
finance,netCashFromFinancing,cash_financing,0
finance,netCashFromInvestingActivities,cash_investing_activities,0
finance,netCashFromOperations,cash_operations,0
finance,netCashFromPlantImprovements,cash_plant_improvements,0
finance,netChangeInCash,cash_change,0
finance,netIncome,net_income,0
finance,netMargin,net_margin,0
finance,netProfit,net_income,0
finance,otherCost,other_cost,0
finance,otherPercentSales,other_percent,0
finance,periodCost,period_cost,0
finance,plantAndEquipment,plant_equipment,0
finance,priceToEarningsRatio,price_to_earnings_ratio,0
finance,profit,net_income,0
finance,profitPercentSales,net_income_percent,0
finance,profitSharingExpense,profit_sharing_expense,0
finance,promotionBudgetCost,promo_cost,0
finance,rating,bond_rating,0
finance,regionalMarketShare,regional_market_share,1
finance,researchAndDevelopmentCost,rd_cost,0
finance,retainedEarnings,retained_earnings,0
finance,roa,return_on_assets,0
finance,roe,return_on_equity,0
finance,ros,return_on_sales,0
finance,sales,sales,0
finance,salesBudgetCost,sales_cost,0
finance,sellingGeneralAndAdminCost,sga_cost,0
finance,seriesNumber,series_number,0
finance,sgAndAPercentSales,,1
finance,sGaToSales,sga_percent,0
